Time, Open, High, Low, Close, Volume
1537297200000, 209.49, 210.2, 208.35, 209.24, 2987.74578
1537299000000, 209.24, 210.35, 205.61, 206.88, 11006.63524
1537300800000, 206.87, 207.85, 205.1, 207.03, 10211.73374
1537302600000, 207.21, 209.29, 206.86, 207.96, 8583.64616
1537304400000, 207.99, 209.55, 207.69, 208.19, 1882.49782
1537306200000, 208.28, 208.5, 207.94, 208.39, 2691.60022
1537308000000, 208.4, 211.46, 208.39, 210.8, 6362.03478
1537309800000, 210.81, 211.84, 209.93, 210.98, 3938.10114
1537311600000, 210.98, 211.38, 209.03, 209.82, 6446.53955
1537313400000, 209.82, 210.33, 208.13, 208.17, 5236.50719
1537315200000, 208.42, 208.91, 207.52, 208.81, 4517.00031
1537317000000, 208.82, 209.13, 207.51, 208.25, 3834.32578
1537318800000, 208.21, 209.96, 208.05, 209.71, 4658.98867
1537320600000, 209.78, 212.9, 209.62, 212.07, 10889.15326
1537322400000, 212.09, 212.38, 210.55, 211.24, 4923.55259
1537324200000, 211.16, 212.8, 211.03, 212.41, 10427.79453
1537326000000, 212.42, 214.84, 211.42, 211.62, 15820.92098
1537327800000, 211.74, 212.8, 211.06, 212.55, 4192.36002
1537329600000, 212.57, 213.26, 211.3, 211.99, 5352.87384
1537331400000, 211.93, 212.23, 209.92, 211.17, 5335.66493
1537333200000, 211.13, 212.11, 211.0, 211.59, 1843.02107
1537335000000, 211.6, 212.2, 211.21, 211.74, 2181.2928
1537336800000, 211.74, 212.2, 211.21, 211.52, 2534.18032
1537338600000, 211.43, 212.85, 211.26, 211.58, 3353.51892
1537340400000, 211.58, 211.68, 209.46, 210.73, 6729.52905
1537342200000, 210.76, 211.73, 210.16, 211.57, 3049.30972
1537344000000, 211.6, 212.7, 211.13, 211.34, 5157.54552
1537345800000, 211.34, 211.64, 210.79, 211.14, 2544.52019
1537347600000, 211.22, 211.41, 206.93, 208.68, 16467.08666
1537349400000, 208.83, 209.69, 207.69, 208.38, 7337.66417
1537351200000, 208.38, 209.65, 208.01, 208.85, 5277.64228
1537353000000, 208.86, 209.42, 207.69, 207.97, 3693.5594
1537354800000, 207.98, 209.04, 205.33, 207.76, 10389.79182
1537356600000, 207.66, 208.45, 204.12, 205.36, 14166.96445
1537358400000, 205.28, 205.97, 203.0, 204.96, 14916.73415
1537360200000, 205.01, 207.66, 204.16, 207.15, 8803.71986
1537362000000, 207.03, 207.66, 205.27, 206.19, 3594.06304
1537363800000, 206.27, 207.98, 205.94, 207.15, 5415.82938
1537365600000, 207.15, 208.86, 206.64, 208.79, 4698.45375
1537367400000, 208.67, 211.41, 208.19, 209.78, 10237.53513
1537369200000, 209.78, 210.9, 208.75, 210.62, 5108.28073
1537371000000, 210.57, 211.2, 209.16, 209.66, 7234.19677
1537372800000, 209.53, 210.23, 207.16, 208.29, 8294.92597
1537374600000, 208.29, 210.35, 208.0, 209.4, 5428.50053
1537376400000, 209.37, 209.37, 206.45, 208.7, 12434.55838
1537378200000, 208.92, 209.16, 207.0, 207.76, 4381.42527
1537380000000, 207.77, 208.07, 203.55, 203.73, 15473.08321
1537381800000, 203.83, 204.51, 197.58, 201.14, 48967.84579
1537383600000, 200.45, 212.99, 197.95, 209.55, 85555.00092
1537385400000, 209.81, 211.09, 207.76, 209.4, 30302.33562
1537387200000, 209.49, 211.75, 208.85, 210.68, 19594.07058
1537389000000, 210.75, 213.4, 210.51, 211.23, 18933.8884
1537390800000, 211.23, 212.11, 210.01, 210.41, 7679.35485
1537392600000, 210.56, 211.07, 209.0, 209.72, 4432.51211
1537394400000, 209.77, 210.38, 208.95, 210.2, 6306.80031
1537396200000, 210.11, 210.55, 208.23, 209.25, 5295.45964
1537398000000, 209.25, 209.55, 208.7, 208.93, 3504.84122
1537399800000, 209.12, 210.24, 208.12, 209.79, 4828.7895
1537401600000, 209.79, 210.82, 209.39, 210.16, 6482.0228
1537403400000, 210.16, 211.64, 209.86, 210.77, 6828.54393
1537405200000, 210.76, 211.21, 210.06, 210.28, 2680.34394
1537407000000, 210.29, 211.06, 209.74, 210.19, 1962.45353
1537408800000, 210.19, 210.2, 208.59, 208.71, 12393.62842
1537410600000, 208.72, 209.5, 208.28, 208.95, 12766.84761
1537412400000, 208.93, 209.16, 208.35, 208.54, 4633.02003
